"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"14","Are Data Lakes the Future of Big Data? Four Challenges of a Data Lake - by @vanrijmenam https://t.co/6UQwkAhsYr #BigData",FALSE,0,NA,2017-08-05 04:06:56,FALSE,NA,"893684721024204801",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","VanRijmenam",0,FALSE,FALSE,NA,NA,"Sydney, New South Wales","en","http://pbs.twimg.com/profile_images/475736689361444864/l9gUJdAU_normal.jpeg"
"15","RT @andi_staub: #bigdata Is Coming to Take Your #Health #Insurance

#AI #insurtech #fintech #MachineLearning #DataScience
https://t.co/CuqY…",FALSE,0,NA,2017-08-05 04:06:48,FALSE,NA,"893684688098922496",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",2,TRUE,FALSE,NA,NA,"Santiago, Chile","en","http://pbs.twimg.com/profile_images/477167045772312577/3q1ssMVN_normal.jpeg"
"16","RT @ipfconline1: TOP 10 #BigData
[by @klout]
@Ronald_vanLoon
@jose_garde
@KirkDBorne
@IoTRecruiting
@DataScienceCtrl
@DeepLearn007
@Informa…",FALSE,0,NA,2017-08-05 04:06:45,FALSE,NA,"893684676518453248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joelfarvault",22,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/493083009017716737/jeBM8yBl_normal.jpeg"
"17","RT @ActivevoiceSw: Temperature anomalies arranged by country 1900 - 2016. https://t.co/dLPlxeqCSW #dataviz #bigdata #climatechange https://…",FALSE,0,NA,2017-08-05 04:06:41,FALSE,NA,"893684661699969025",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider2</a>","joseFreedomVE",7,TRUE,FALSE,NA,NA,"Venezuela","en","http://pbs.twimg.com/profile_images/804075524532424714/AQr0vvTJ_normal.jpg"
"18","RT @Bharath_369: Disruptive Technology Trends Of 2017 #fintech #bitcoin #AI #IoT #makeyourownlane #Mpgvip #defstar5 #GrowthHacking #Bigdata…",FALSE,0,NA,2017-08-05 04:06:39,FALSE,NA,"893684651578892289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crypto_insider1",78,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/893679795958984704/wlTkcJ2w_normal.jpg"
"19","RT @arnabch01: #China<ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> makes big leap in #QuantumComputing #AI #ML #BigData #robotics #IoT #IIoT $GOOG $MSFT $IBM $INTC  #investor https:/…",FALSE,0,NA,2017-08-05 04:06:28,FALSE,NA,"893684606981033984",NA,"<a href=""http://google.com"" rel=""nofollow"">pmedina name</a>","pmedina",76,TRUE,FALSE,NA,NA,"Paris, France","fr","http://pbs.twimg.com/profile_images/606973900795330561/aJlG7rs9_normal.jpg"
"20","MikeQuindazzi: RT ErkanAYAN2013: #Future of #VR #AR &amp; #MR (#MixedReality) by MikeQuindazzi
#BigData
#Cloud
#AI
#we… https://t.co/NC9NGK1aOA",FALSE,0,NA,2017-08-05 04:06:14,FALSE,NA,"893684546146840576",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","axelrod_eric",0,FALSE,FALSE,NA,NA,"St. Louis, MO, United States","en","http://pbs.twimg.com/profile_images/887886184986181632/jjkhadsK_normal.jpg"
"21","#bigdata Is Coming to Take Your #Health #Insurance

#AI #insurtech #fintech #MachineLearning #DataScience… https://t.co/bVRHdk1ueq",FALSE,1,NA,2017-08-05 04:06:08,TRUE,NA,"893684521245302785",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","andi_staub",2,FALSE,FALSE,NA,NA,"","de","http://pbs.twimg.com/profile_images/732482833407582210/TDe-Ph8r_normal.jpg"
"22","RT @ipfconline1: #DeepLearning - A Non-Technical Introduction.
https://t.co/vgd6mj3WCR   [via @gp_pulipaka]
#BigData #DL #MachineLearning #…",FALSE,0,NA,2017-08-05 04:06:06,FALSE,NA,"893684515306123264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mike1601",68,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/539900022314528768/4HEc5swt_normal.jpeg"
"23","RT @arnabch01: #AI #ML #BigData #HPC #3dp #IoT #IIot #Bioinformatics t make #PrecisionMedicine affordable revolutionize #healthcare https:/…",FALSE,0,NA,2017-08-05 04:06:06,FALSE,NA,"893684511317172224",NA,"<a href=""http://misukou.wjg.jp/mscpro/"" rel=""nofollow"">Many Stars Creator Pro</a>","we152d6l6h16",379,TRUE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/892213907766497280/gDm7GE8S_normal.jpg"
"24","RT @arnabch01: #AI #ML #BigData #HPC #3dp #IoT #IIot #Bioinformatics t make #PrecisionMedicine affordable revolutionize #healthcare https:/…",FALSE,0,NA,2017-08-05 04:06:05,FALSE,NA,"893684507122950145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnabch01",379,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/743824651155955713/UnJnr0fz_normal.jpg"
"25","RT @ErkanAYAN2013: What is #industry40?

#CyberSecurity #robots #Bigdata #IoT #IIoT #AR #VR #CloudComputing #AI #ML #MachineLearning #M2M #…",FALSE,0,NA,2017-08-05 04:06:04,FALSE,NA,"893684503536906240",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","mwitcomb",13,TRUE,FALSE,NA,NA,"Telford","en","http://pbs.twimg.com/profile_images/890684642940071941/Xf7OIjWE_normal.jpg"
